symptoms,topic
"Irritation and itching of the genital area,Inflammation (irritation, redness, and swelling) of the genital area,Foul vaginal odor,Discomfort or burning when urinating ",Vulvovaginitis - overview
,Nurse practitioner (NP) 
"Head injury from motor vehicle accidents,Inner ear disorders such as , or ,Thiamine or , deficiency",Nystagmus
,Nutrition and athletic performance
"The child usually begins crying right away and refuses to use the arm because of elbow pain.,The child may hold the arm slightly bent (flexed) at the elbow and pressed up against their belly (abdominal) area.,The child will move the shoulder, but not the elbow. Some children stop crying as the first pain goes away, but continue to refuse to move their elbow. ",Nursemaid’s elbow
"Coin-shaped skin lesions that are dry and scaly, and appear on the arms and legs
 ,Lesions may spread to middle of body,Lesions may ooze and become crusty,Scaly or raw skin,Skin redness or inflammation",Nummular eczema
,Numbness and tingling
,Nuclear ventriculography
"Tea and coffee,All sodas, even ones that are labeled caffeine-free,Chocolates, and certain pain relievers that contain caffeine ,Your provider will tell you if you need to stop taking any medicines before you have this test.,DO NOT stop or change your medicines without talking to your doctor first. ",Nuclear stress test
"Abdominal pain,Backache,Dull red rash that begins on the middle of the body and spreads,Fever (can be extremely high 105°F to 106°F, 40.6°C to 41.1°C) that may last up to 2 weeks,Hacking, dry cough,Headache,Joint and muscle pain,Nausea,Vomiting ,Chills,Confusion,Cough,High fever,Joint pain,Lights that appear very bright; light may hurt the eyes,Low blood pressure,Rash that begins on the chest and spreads to the rest of the body (except the palms of the hands and soles of the feet),Severe headache,Severe muscle pain",Typhus
"Nasal spray,Pills or tablets, taken by mouth,Skin gel,Skin patches, applied to the thigh or belly,Vaginal creams or vaginal tablets to help with dryness and pain with sexual intercourse,Vaginal ring ,Pills,Skin patches,Vaginal creams,Vaginal suppositories ",Types of hormone therapy
,Types of ileostomy
,Types of health care providers
"Eat foods that are hard to digest, such as fiber. Sometimes, adding more fiber into your diet can cause temporary gas. Your body may adjust and stop producing gas over time.,Eat or drink something your body cannot tolerate. For example, some people have , and cannot eat or drink dairy products. ,Antibiotics,Inability to absorb nutrients properly (,),Inability to digest nutrients properly (maldigestion),Swallowing air while eating ",Gas - flatulence
,Sugar-water hemolysis test
"Treat heavy or irregular periods,Block the fallopian tubes to prevent pregnancy,Diagnose abnormal structure of the womb,Diagnose thickening of the lining of the womb,Find and remove abnormal growths such as polyps or fibroids,Find the cause of repeated miscarriages or remove tissue after a pregnancy loss,Find uterine or cervical cancer,Remove an intrauterine device (IUD),Remove scar tissue from the womb,Take a tissue sample (biopsy) from the cervix or womb ",Hysteroscopy
,Hysterosalpingography
,Hysterectomy - laparoscopic - discharge
,Hysterectomy - vaginal - discharge 
,Hysterectomy - abdominal - discharge
", a condition that causes heavy, painful periods,Cancer of the uterus, most often , or changes in the cervix called cervical dysplasia that may lead to cancer,Long-term (chronic) pelvic pain,Severe , that does not get better with other treatments,Severe, long-term , that is not controlled with other treatments,Slipping of the uterus into the vagina (,),Tumors in the uterus, such as ,Uncontrolled bleeding during childbirth ,Endometrial ablation,Using birth control pills,Using pain medicines,Using an IUD (intrauterine device) that releases the hormone progestin",Hysterectomy
"Brain damage, due to lack of oxygen before or right after birth, or problems with brain formation,Disorders of the muscles, such as ,Disorders that affect the nerves that supply muscles,Disorders that affect the ability of nerves to send messages to the muscles,Infections ,Poisons or toxins,Spinal cord injuries that occur around the time of birth ",Hypotonia
"Chills,Agitation, ,, delirium, seeing or hearing things that are not there (,),Difficulty paying attention (attention deficit),Mood swings,Nosebleeds,Severe fatigue,Slow, sluggish, weak feeling ",Typhoid fever
